"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PACASUS","201313","6.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201401","11.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201402","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201403","7.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201404","5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201405","5.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201406","7.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201407","7.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201408","7.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201409","6.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201410","4.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201411","4.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201412","5.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201413","6.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201501","6.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201502","10.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201503","4.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201504","6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201505","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201506","5.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201507","7.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201508","7.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201509","7.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201510","7.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201511","5.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201512","5.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201513","6.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201601","5.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201602","5.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201603","4.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201604","4.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201605","5.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201606","6.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201607","8.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201608","7.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201609","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201610","4.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201611","5.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201612","5.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201613","5.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201701","5.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201702","5.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201703","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201704","4.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201705","7.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201706","7.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201707","7.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201708","7.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201709","6.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201710","5.7","2","Petroleum Generating Units, Capacity Factor","Percent"
